pais,ano,tipo,valor
Brasil,2000,colheita,11890376
Brasil,2019,colheita,17518054
Brasil,2000,producao,32321000
Brasil,2019,producao,101138617
China,2000,colheita,23086228
China,2019,colheita,41309740
China,2000,producao,106178315
China,2019,producao,260957662
India,2000,colheita,6611300
India,2019,colheita,9027130
India,2000,producao,12043200
India,2019,producao,27715100
